Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4	11;11;11;11;11;11;11;11;4	11;11;11;11;11;11;11;11;4	11;11;11;11;11;11;11;11;4	40S ribosomal protein S24	RPS24	9	11	11	11
A0A087WUT6;O60841	A0A087WUT6;O60841	15;15	15;15	15;15	Eukaryotic translation initiation factor 5B	EIF5B	2	15	15	15
A0A087WUV8;A0A087X2B5;P35613-3;P35613-4;P35613-2;P35613;R4GMX5;I3L192;R4GN83	A0A087WUV8;A0A087X2B5;P35613-3;P35613-4;P35613-2;P35613;R4GMX5;I3L192	5;5;5;5;5;5;3;3;2	5;5;5;5;5;5;3;3;2	5;5;5;5;5;5;3;3;2	Basigin	BSG	9	5	5	5
A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;Q9Y6K9-3;C9JN51;A0A087WV30;C9JH59;C9JCG6;A0A087X1K7	A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;Q9Y6K9-3;C9JN51;A0A087WV30	12;12;12;12;12;8;7;6;3;1;1	12;12;12;12;12;8;7;6;3;1;1	7;7;7;7;7;4;2;2;0;0;0	NF-kappa-B essential modulator	IKBKG	11	12	12	7
A0A087WUX7;V9GYT8;V9GYI2;V9GY35;V9GYN4;V9GYQ8;Q9NX04-2;Q9NX04	A0A087WUX7;V9GYT8;V9GYI2;V9GY35;V9GYN4;V9GYQ8;Q9NX04-2;Q9NX04	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	Uncharacterized protein C1orf109	C1orf109	8	1	1	1
A0A087WV05;Q99417	A0A087WV05;Q99417	2;2	2;2	2;2	C-Myc-binding protein	MYCBP	2	2	2	2
F8W7C6;A0A087WV22;H7C123;H7C2C5;H7C2U2	F8W7C6;A0A087WV22;H7C123;H7C2C5	26;26;13;13;2	1;1;0;0;0	1;1;0;0;0	NA	RPL10	5	26	1	1
A0A087WV46;C9JXA7;Q0VGL1;A0A087WT92	A0A087WV46;C9JXA7;Q0VGL1	3;3;3;1	3;3;3;1	3;3;3;1	Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed	LAMTOR4	4	3	3	3
A0A087WV97;Q8WU79-2;Q8WU79;Q8WU79-3;X6RCC3	A0A087WV97;Q8WU79-2;Q8WU79;Q8WU79-3;X6RCC3	8;8;8;7;6	8;8;8;7;6	7;7;7;7;5	Stromal membrane-associated protein 2	SMAP2	5	8	8	7
A0A087WVD7;Q9Y3D8;A0A087WY94;Q9Y3D8-2;D6RDH4	A0A087WVD7;Q9Y3D8;A0A087WY94;Q9Y3D8-2	8;8;6;5;2	8;8;6;5;2	8;8;6;5;2	Adenylate kinase isoenzyme 6	TAF9;AK6	5	8	8	8
A0A087WVF7;Q9NZM3-4;Q9NZM3-3;Q9NZM3-2;Q9NZM3;E7EPJ2;H7BZD4	A0A087WVF7;Q9NZM3-4;Q9NZM3-3;Q9NZM3-2;Q9NZM3	6;6;6;6;6;2;1	6;6;6;6;6;2;1	6;6;6;6;6;2;1	Intersectin-2	ITSN2	7	6	6	6
A0A087WVM4;B7ZM99;Q6UB35;H0Y327;Q4VXM0;Q4VXM1;Q5JYA8;Q5JYA3;Q6UB35-2	A0A087WVM4;B7ZM99;Q6UB35	21;21;21;5;4;2;2;2;2	19;19;19;5;4;2;2;2;2	19;19;19;5;4;2;2;2;2	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	MTHFD1L	9	21	19	19
A0A087WVT1;Q96MX3	A0A087WVT1;Q96MX3	1;1	1;1	1;1	Zinc finger protein 48	ZNF48	2	1	1	1
D6RAC5;U3KQ46;A0A087WVT6;A0A087X159;P81877-2;P81877-4;P81877-5;P81877-3;Q9BWW4-2;P81877;Q9BWG4-2;Q9BWW4-3;Q9BWG4;Q9BWW4	D6RAC5;U3KQ46;A0A087WVT6;A0A087X159;P81877-2;P81877-4;P81877-5;P81877-3;Q9BWW4-2;P81877;Q9BWG4-2;Q9BWW4-3;Q9BWG4;Q9BWW4	2;2;2;2;2;2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2;2;2;2;2;2	Single-stranded DNA-binding protein 2;Single-stranded DNA-binding protein 3;Single-stranded DNA-binding protein 4	SSBP2;SSBP4;SSBP3	14	2	2	2
Q9ULU4-9;Q9ULU4-3;Q9ULU4-6;H7C4X9;A0A087WVZ6;Q9ULU4-23;Q9ULU4-22;Q9ULU4-21;Q9ULU4-12;Q9ULU4-14;Q9ULU4-16;Q9ULU4-13;Q9ULU4;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-19;Q9ULU4-20;Q9ULU4-5;A0A087WYS3;Q9ULU4-8;Q9ULU4-15;Q9ULU4-17;Q9ULU4-4;Q9ULU4-18;A0A087WV57;Q9ULU4-2	Q9ULU4-9;Q9ULU4-3;Q9ULU4-6;H7C4X9;A0A087WVZ6;Q9ULU4-23;Q9ULU4-22;Q9ULU4-21;Q9ULU4-12;Q9ULU4-14;Q9ULU4-16;Q9ULU4-13;Q9ULU4;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-19;Q9ULU4-20;Q9ULU4-5;A0A087WYS3;Q9ULU4-8;Q9ULU4-15;Q9ULU4-17;Q9ULU4-4;Q9ULU4-18;A0A087WV57	7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;5;5;5;3	7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;5;5;5;3	7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;5;5;5;3	Protein kinase C-binding protein 1	ZMYND8	27	7	7	7
A0A087WW40;Q9Y371;Q9Y371-2;Q9Y371-3	A0A087WW40;Q9Y371;Q9Y371-2	9;9;9;3	8;8;8;3	8;8;8;3	Endophilin-B1	SH3GLB1	4	9	8	8
A0A087WW66;Q99460;Q99460-2;H7BZR6;H7C378;C9J9M4	A0A087WW66;Q99460;Q99460-2	40;40;36;8;8;5	40;40;36;8;8;5	40;40;36;8;8;5	26S proteasome non-ATPase regulatory subunit 1	PSMD1	6	40	40	40
A0A087WWA3;Q4R9M9;O60333-2;O60333;O60333-4	A0A087WWA3;Q4R9M9;O60333-2;O60333;O60333-4	8;8;8;8;8	8;8;8;8;8	1;1;1;1;1	Kinesin-like protein;Kinesin-like protein KIF1B	KIF1B;KIF1Bbeta	5	8	8	1
A0A087WZ78;A0A087WWJ9;D6REL5;Q6UWZ7-2;Q6UWZ7	A0A087WZ78;A0A087WWJ9;D6REL5;Q6UWZ7-2;Q6UWZ7	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	BRCA1-A complex subunit Abraxas	FAM175A	5	1	1	1
A0A087WWM0;O43617-2;O43617;A0A087WYS5;A6NKE1	A0A087WWM0;O43617-2;O43617;A0A087WYS5	4;4;4;3;1	4;4;4;3;1	4;4;4;3;1	Trafficking protein particle complex subunit 3	TRAPPC3	5	4	4	4
Q9P2T1-2;H0YNJ6;A0A087WWM4;H0YLV5;H0YMB3;F8WAN9;Q9P2T1;Q9P2T1-3;H0YLB8;H0YNH0;H0YNS9;H0YK13;H0YMR9;H0YMV5;H0YK71;A0A0B4J281;H0YMG3;H0YKK3;H0YN74;H0YN22;H0YMW6;P36959;H0YKE1;H0YL68	Q9P2T1-2;H0YNJ6;A0A087WWM4;H0YLV5;H0YMB3;F8WAN9;Q9P2T1;Q9P2T1-3	18;18;18;18;18;18;18;17;8;8;7;7;6;6;6;5;5;5;5;4;3;2;1;1	18;18;18;18;18;18;18;17;8;8;7;7;6;6;6;5;5;5;5;4;3;2;1;1	18;18;18;18;18;18;18;17;8;8;7;7;6;6;6;5;5;5;5;4;3;2;1;1	GMP reductase 2;GMP reductase	GMPR2	24	18	18	18
A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3;Q96T37	A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3;Q96T37	6;6;6;6;6	6;6;6;6;6	6;6;6;6;6	Putative RNA-binding protein 15	RBM15	5	6	6	6
A0A087WWP8;Q5VWQ0;A0A0C4DGT8;A0A0C4DH79;Q5VWQ0-4	A0A087WWP8;Q5VWQ0;A0A0C4DGT8	12;11;9;5;4	11;10;8;5;4	11;10;8;5;4	Round spermatid basic protein 1	RSBN1	5	12	11	11
I3L2Z5;A0A087WWR2;P56270-3;P56270;P56270-2;H3BQI4;I3L411;I3L4Y2;H3BPU3;I3L0M3;H3BQS2;J3QSH4;P56270-4;Q14119	I3L2Z5;A0A087WWR2;P56270-3;P56270;P56270-2;H3BQI4	4;4;4;4;4;2;1;1;1;1;1;1;1;1	4;4;4;4;4;2;1;1;1;1;1;1;1;1	4;4;4;4;4;2;1;1;1;1;1;1;1;1	Myc-associated zinc finger protein	MAZ	14	4	4	4
A0A087WWS1;Q96FV9;R4GMN4;J3KT14;Q96FV9-2;A0A087WY84;J3KRD7;J3QQZ3	A0A087WWS1;Q96FV9;R4GMN4	11;11;6;3;3;2;1;1	11;11;6;3;3;2;1;1	11;11;6;3;3;2;1;1	THO complex subunit 1	THOC1	8	11	11	11
A0A087WWU8;D6R904;D6RFM2	A0A087WWU8;D6R904	48;26;12	1;0;0	1;0;0	NA	TPM3	3	48	1	1
A0A087WWW9;O95999	A0A087WWW9;O95999	2;2	2;2	2;2	B-cell lymphoma/leukemia 10	BCL10	2	2	2	2
A0A087WX11;J3KNG8;Q8TF40-3;Q8TF40	A0A087WX11;J3KNG8;Q8TF40-3;Q8TF40	1;1;1;1	1;1;1;1	1;1;1;1	Folliculin-interacting protein 1	FNIP1	4	1	1	1
Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EN94;A0A0A0N0M3;K7EJM5;Q13148-4;A0A087WXV3;A0A087WXQ5;A0A087WV68;A0A087WX67;A0A1W2PNU8;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A0A0MSV7;K7EJ99;A0A087WTZ4	Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EN94;A0A0A0N0M3;K7EJM5;Q13148-4	7;7;5;5;5;5;4;4;4;4;2;2;2;2;2;2;1;1;1;1;1;1	7;7;5;5;5;5;4;4;4;4;2;2;2;2;2;2;1;1;1;1;1;1	7;7;5;5;5;5;4;4;4;4;2;2;2;2;2;2;1;1;1;1;1;1	TAR DNA-binding protein 43	TARDBP;TDP43	22	7	7	7
A0A087WX35;Q8N5Z5-2;Q8N5Z5	A0A087WX35;Q8N5Z5-2;Q8N5Z5	2;2;2	2;2;2	2;2;2	BTB/POZ domain-containing protein KCTD17	KCTD17	3	2	2	2
A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A087WY81;A0A0A0MRF8;P18621-2;J3KSJ0	A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A087WY81;A0A0A0MRF8;P18621-2	25;25;25;25;25;25;21;21;21;20;16;16;16;11	25;25;25;25;25;25;21;21;21;20;16;16;16;11	25;25;25;25;25;25;21;21;21;20;16;16;16;11	60S ribosomal protein L17	RPL17;RPL17-C18orf32	14	25	25	25
A0A1B0GX90;C9JDP3;C9J0M6;E9PGI3;A0A087WXN4;Q96CB8;D6R9W3	A0A1B0GX90;C9JDP3;C9J0M6;E9PGI3;A0A087WXN4;Q96CB8	3;3;3;3;3;3;1	3;3;3;3;3;3;1	3;3;3;3;3;3;1	Integrator complex subunit 12	INTS12	7	3	3	3
A0A087WXN9;Q765P7	A0A087WXN9;Q765P7	1;1	1;1	1;1	MTSS1-like protein	MTSS1L	2	1	1	1
O43681;A0A087WXS7;K7ERW9	O43681;A0A087WXS7;K7ERW9	5;5;3	5;5;3	5;5;3	ATPase ASNA1	ASNA1	3	5	5	5
H7BXI1;A0A087WXU3;A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4;A0FGR8-5	H7BXI1;A0A087WXU3;A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4	5;5;5;5;5;4;1	5;5;5;5;5;4;1	5;5;5;5;5;4;1	Extended synaptotagmin-2	ESYT2	7	5	5	5
H7BZQ3;A0A087WXV6;Q96G74-2;Q96G74-3;Q96G74-5;Q96G74;Q96G74-4	H7BZQ3;A0A087WXV6;Q96G74-2;Q96G74-3;Q96G74-5;Q96G74;Q96G74-4	4;4;4;4;4;4;3	4;4;4;4;4;4;3	4;4;4;4;4;4;3	OTU domain-containing protein 5	OTUD5	7	4	4	4
A0A087WY00;G3V394;F8WE88;F8W6H6;Q9Y4I1-2;Q9Y4I1;Q9Y4I1-3;Q9UES5;O95317	A0A087WY00;G3V394;F8WE88;F8W6H6;Q9Y4I1-2;Q9Y4I1;Q9Y4I1-3	4;4;4;4;4;4;4;1;1	4;4;4;4;4;4;4;1;1	4;4;4;4;4;4;4;1;1	Unconventional myosin-Va	MYO5A	9	4	4	4
A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2	A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2	12;12;6;6	12;12;6;6	12;12;6;6	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1	4	12	12	12
A0A087WY71;E9PFW3;Q96CW1-2;Q96CW1;C9JJ47;C9JJD3;H7C4C3;C9JPV8;C9JTK4;C9JGT8	A0A087WY71;E9PFW3;Q96CW1-2;Q96CW1	10;10;10;10;3;1;1;1;1;1	10;10;10;10;3;1;1;1;1;1	10;10;10;10;3;1;1;1;1;1	AP-2 complex subunit mu	AP2M1	10	10	10	10
A0A087WYF4;E7EVR1;A0A0D9SFG5;Q9NR11-2;Q9NR11;D6RAM0	A0A087WYF4;E7EVR1;A0A0D9SFG5;Q9NR11-2;Q9NR11;D6RAM0	2;2;2;2;2;1	2;2;2;2;2;1	2;2;2;2;2;1	Zinc finger protein 302	ZNF302	6	2	2	2
A0A087WYN9;Q7Z478	A0A087WYN9;Q7Z478	6;6	6;6	6;6	ATP-dependent RNA helicase DHX29	DHX29	2	6	6	6
Q8IZQ5;A0A087WYP2;H0YE28	Q8IZQ5;A0A087WYP2;H0YE28	5;5;4	5;5;4	5;5;4	Selenoprotein H	SELH;C11orf31	3	5	5	5
A0A087WYR0;P09132;A0A087WWU9;A0A2U3TZN1;P09132-2;D6RBG4;A0A2R8Y4M3	A0A087WYR0;P09132;A0A087WWU9;A0A2U3TZN1;P09132-2	10;10;6;5;5;4;4	10;10;6;5;5;4;4	10;10;6;5;5;4;4	Signal recognition particle 19 kDa protein	SRP19	7	10	10	10
A0A087WZ13;E9PAU2;K7EKR9;Q8IY67-3;Q8IY67;Q8IY67-2	A0A087WZ13;E9PAU2	3;3;1;1;1;1	3;3;1;1;1;1	3;3;1;1;1;1	NA	RAVER1	6	3	3	3
A0A087WZ32;A0A087X038;A8K727;Q9HB19;E5RHB5	A0A087WZ32;A0A087X038;A8K727;Q9HB19	6;6;6;6;2	6;6;6;6;2	6;6;6;6;2	Pleckstrin homology domain-containing family A member 2	PLEKHA2	5	6	6	6
A0A087WZK9;O15372;B3KS98;E5RJT0;E5RGU4;E5RHC7;E5RH59;E5RFH0	A0A087WZK9;O15372;B3KS98	13;13;12;6;4;1;1;1	13;13;12;6;4;1;1;1	13;13;12;6;4;1;1;1	Eukaryotic translation initiation factor 3 subunit H	EIF3H	8	13	13	13
A0A087WZN1;O43837;A0A087X2E5;O43837-2;O43837-3;A0A0D9SG66	A0A087WZN1;O43837;A0A087X2E5;O43837-2;O43837-3	8;8;7;7;4;3	8;8;7;7;4;3	8;8;7;7;4;3	Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	IDH3B	6	8	8	8
A0A087WZV0;O43314-2;O43314;A0A087WWN8;H0Y9M0;K7EPT7;D6RFG4	A0A087WZV0;O43314-2;O43314	15;15;15;7;2;1;1	15;15;15;7;2;1;1	1;1;1;0;0;0;1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	PPIP5K2	7	15	15	1
J3KPF9;A0A087X011;E9PES4;Q9Y496;H7C2F6;C9J9X2;Q5JRK0;H0Y718;A0A0A0MRS8;Q6ZMV9-3;Q6ZMV9;Q9P2E2-3;Q9P2E2	J3KPF9;A0A087X011;E9PES4;Q9Y496	13;13;13;13;3;2;1;1;1;1;1;1;1	12;12;12;12;3;2;1;1;1;1;1;1;1	11;11;11;11;3;2;0;0;1;0;0;1;1	Kinesin-like protein;Kinesin-like protein KIF3A	KIF3A	13	13	12	11
A0A087X054;Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;Q9Y4L1-2;J3KTF1;J3QL06;Q9BST8;J3QQH7;J3QLE9;A0A087WW13;A0A087X214	A0A087X054;Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;Q9Y4L1-2	70;70;52;52;52;43;18;15;13;13;13;9;7	70;70;52;52;52;43;18;15;13;13;13;9;7	69;69;52;52;52;43;18;15;13;13;13;9;7	Hypoxia up-regulated protein 1	HYOU1	13	70	70	69
