Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
G5E9M9;A0A075B6E4;A0A0A6YYI5;G5E9M7;Q14135-5;Q14135-6;Q14135-2;Q14135;Q14135-4;E7ERW0;E7EQU6;E7EWF5;C9JBN2;F8WBN7;F8W708	G5E9M9;A0A075B6E4;A0A0A6YYI5;G5E9M7;Q14135-5;Q14135-6;Q14135-2;Q14135;Q14135-4;E7ERW0;E7EQU6;E7EWF5	4;4;4;4;4;4;4;4;4;2;2;2;1;1;1	4;4;4;4;4;4;4;4;4;2;2;2;1;1;1	4;4;4;4;4;4;4;4;4;2;2;2;1;1;1	Transcription cofactor vestigial-like protein 4	VGLL4	15	4	4	4
M0R3B2;A0A075B6F9;Q9Y314;M0R1T7;M0QX85;M0R1K2	M0R3B2;A0A075B6F9;Q9Y314;M0R1T7;M0QX85;M0R1K2	3;3;3;2;2;2	3;3;3;2;2;2	3;3;3;2;2;2	Nitric oxide synthase-interacting protein	NOSIP	6	3	3	3
E9PL18;E9PQ38;A0A075B6T4;Q9NVX7;Q9NVX7-2	E9PL18;E9PQ38;A0A075B6T4;Q9NVX7;Q9NVX7-2	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Kelch repeat and BTB domain-containing protein 4	KBTBD4	5	1	1	1
A0A075B762	A0A075B762	1	1	1	NA	NBPF10	1	1	1	1
A0A286YEY3;A0A075B7B5;B7ZM87;P0DMP2;O75044;E9PDX4;A0A087WW56;P0DJJ0;A0A087X0L1	A0A286YEY3;A0A075B7B5;B7ZM87;P0DMP2;O75044;E9PDX4;A0A087WW56;P0DJJ0	3;3;3;3;3;2;2;2;1	3;3;3;3;3;2;2;2;1	3;3;3;3;3;2;2;2;1	SLIT-ROBO Rho GTPase-activating protein 2B;SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2C	SRGAP2;SRGAP2B;SRGAP2C	9	3	3	3
Q16881;A0A087WSY9;Q16881-4;Q16881-3;A0A087WSW9;Q16881-5;Q16881-2;A0A182DWI3;Q16881-6;F8W809;E9PIR7;Q16881-7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A096LPK7;A0A096LPD9;E7EWK1;A0A182DWF2;D3YTF8;A0A182DWF3;E9PJU2;Q9NNW7;Q9NNW7-2	Q16881;A0A087WSY9;Q16881-4;Q16881-3;A0A087WSW9;Q16881-5;Q16881-2;A0A182DWI3;Q16881-6;F8W809;E9PIR7;Q16881-7;E2QRB9	45;45;45;45;45;44;44;44;44;44;40;39;39;18;12;10;6;6;5;4;1;1;1;1;1;1;1;1;1	45;45;45;45;45;44;44;44;44;44;40;39;39;18;12;10;6;6;5;4;1;1;1;1;1;1;1;1;1	45;45;45;45;45;44;44;44;44;44;40;39;39;18;12;10;6;6;5;4;1;1;1;1;1;1;1;1;1	Thioredoxin reductase 1, cytoplasmic	TXNRD1	29	45	45	45
A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;K7EKX7;R4GNE4;K7ENB4;K7EJ20;A0A0A0MTT1	A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;K7EKX7;R4GNE4;K7ENB4;K7EJ20	3;3;3;3;2;2;2;2;2;1	3;3;3;3;2;2;2;2;2;1	3;3;3;3;2;2;2;2;2;1	Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	GPX4	10	3	3	3
A0A087WT39;A0A0J9YYD9;V9GYI1;A0A087WZP9	A0A087WT39;A0A0J9YYD9;V9GYI1;A0A087WZP9	2;2;1;1	2;2;1;1	2;2;1;1	NA	LIME1	4	2	2	2
I3L159;I3L1F5;A0A087WT44;P30519-2;P30519;I3L1Y2;I3L276;I3L4P8;A0A1B0GXH0;I3L463	I3L159;I3L1F5;A0A087WT44;P30519-2;P30519	5;5;5;5;5;1;1;1;1;1	5;5;5;5;5;1;1;1;1;1	5;5;5;5;5;1;1;1;1;1	Heme oxygenase 2	HMOX2	10	5	5	5
A0A087WTB8;Q5TBK7;P15374	A0A087WTB8;Q5TBK7;P15374	3;3;3	3;3;3	3;3;3	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase isozyme L3	UCHL3	3	3	3	3
D6RCT6;A0A087WTC6;D6RIA0;D6R9E3;Q9BWT6	D6RCT6;A0A087WTC6;D6RIA0;D6R9E3;Q9BWT6	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Meiotic nuclear division protein 1 homolog	MND1	5	2	2	2
F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1;O75251-2;O75251	F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1;O75251-2;O75251	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	NDUFS7	6	1	1	1
A0A087WTJ2;Q96F15;Q96F15-2	A0A087WTJ2;Q96F15;Q96F15-2	3;2;2	3;2;2	2;2;2	GTPase IMAP family member 5	GIMAP1-GIMAP5;GIMAP5	3	3	3	2
A0A087WTP3;Q92945;M0R0I5;M0QYH3;M0QXW7;M0QYG1;M0R0C6;M0R3J3	A0A087WTP3;Q92945;M0R0I5	46;46;23;18;13;4;4;4	46;46;23;18;13;4;4;4	42;42;20;15;12;3;3;3	Far upstream element-binding protein 2	KHSRP	8	46	46	42
Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	1;1;1;1	1;1;1;1	1;1;1;1	Transmembrane protein 230	TMEM230	4	1	1	1
H0Y912;A0A087WTT5;Q96NX9-3;Q96NX9-4;Q96NX9-2;Q96NX9	H0Y912;A0A087WTT5;Q96NX9-3;Q96NX9-4;Q96NX9-2;Q96NX9	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Dachshund homolog 2	DACH2	6	1	1	1
A0A087X0S7;A0A0C4DH00;A0A087WTU1;A0A0B4J2G4;Q15345-3;Q15345	A0A087X0S7;A0A0C4DH00;A0A087WTU1;A0A0B4J2G4;Q15345-3;Q15345	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2	Leucine-rich repeat-containing protein 41	LRRC41	6	2	2	2
A0A087WTU3;Q9Y6I9	A0A087WTU3;Q9Y6I9	2;2	2;2	2;2	Testis-expressed sequence 264 protein	TEX264	2	2	2	2
A0A087WTV6;Q96C36;A0A087WZR9;J3KR12;A0A087WX69;A0A087WZF0	A0A087WTV6;Q96C36;A0A087WZR9;J3KR12	10;10;7;7;1;1	9;9;6;6;1;1	9;9;6;6;1;1	Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase	PYCR2	6	10	9	9
A0A087WVR3;A0A087WTW0;Q96T88;Q96T88-2;A0A087WWG9	A0A087WVR3;A0A087WTW0;Q96T88;Q96T88-2;A0A087WWG9	11;11;11;11;9	11;11;11;11;9	10;10;10;10;8	E3 ubiquitin-protein ligase UHRF1	UHRF1	5	11	11	10
A0A087WTW5;Q9UKL3	A0A087WTW5;Q9UKL3	3;3	3;3	3;3	CASP8-associated protein 2	CASP8AP2	2	3	3	3
A0A087WU64;A6NMQ1;P09884	A0A087WU64;A6NMQ1;P09884	31;31;31	31;31;31	31;31;31	DNA polymerase;DNA polymerase alpha catalytic subunit	POLA1	3	31	31	31
A0A087WU65;A0A2R8YE10;Q9NRW7;A0A2R8YD95;A0A1B0GXI6;Q9NRW7-2;A0A2R8YF01;A0A2R8YEX8;B7Z7G7	A0A087WU65;A0A2R8YE10;Q9NRW7;A0A2R8YD95;A0A1B0GXI6;Q9NRW7-2	7;7;7;6;4;4;3;2;2	7;7;7;6;4;4;3;2;2	7;7;7;6;4;4;3;2;2	Vacuolar protein sorting-associated protein 45	VPS45	9	7	7	7
A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2;A2A2P1	A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2	24;24;23;18;18;5	24;24;23;18;18;5	24;24;23;18;18;5	Beta-catenin-like protein 1	CTNNBL1	6	24	24	24
E9PL01;A0A087WUC6;Q15005;E9PRB9;E9PI68	E9PL01;A0A087WUC6;Q15005;E9PRB9;E9PI68	3;3;3;2;2	3;3;3;2;2	3;3;3;2;2	Signal peptidase complex subunit 2	SPCS2	5	3	3	3
A0A087WUI6;Q8WXW3;Q8WXW3-4	A0A087WUI6;Q8WXW3	10;10;2	10;10;2	9;9;1	Progesterone-induced-blocking factor 1	PIBF1	3	10	10	9
A0A087WUK2;O14979	A0A087WUK2;O14979	18;18	16;16	3;3	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	2	18	16	3
A0A087WUQ6;P07203;A0A2R8Y6B6;P07203-2	A0A087WUQ6;P07203;A0A2R8Y6B6	7;7;5;2	7;7;5;2	7;7;5;2	Glutathione peroxidase;Glutathione peroxidase 1	GPX1	4	7	7	7
E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	12;12;12;12;12;12;12;12;6	12;12;12;12;12;12;12;12;6	12;12;12;12;12;12;12;12;6	40S ribosomal protein S24	RPS24	9	12	12	12
A0A087WUT6;O60841	A0A087WUT6;O60841	19;19	19;19	19;19	Eukaryotic translation initiation factor 5B	EIF5B	2	19	19	19
A0A087WUV8;A0A087X2B5;P35613-3;P35613-4;P35613-2;P35613;R4GMX5;I3L192;R4GN83	A0A087WUV8;A0A087X2B5;P35613-3;P35613-4;P35613-2;P35613;R4GMX5;I3L192	5;5;5;5;5;5;3;3;2	5;5;5;5;5;5;3;3;2	5;5;5;5;5;5;3;3;2	Basigin	BSG	9	5	5	5
A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;C9JN51;Q9Y6K9-3;A0A087WV30;C9JH59;C9JCG6;A0A087X1K7	A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;C9JN51;Q9Y6K9-3;A0A087WV30	15;15;15;15;15;11;10;9;4;2;2	15;15;15;15;15;11;10;9;4;2;2	7;7;7;7;7;3;4;3;0;0;0	NF-kappa-B essential modulator	IKBKG	11	15	15	7
A0A087WV05;Q99417	A0A087WV05;Q99417	2;2	2;2	2;2	C-Myc-binding protein	MYCBP	2	2	2	2
F8W7C6;A0A087WV22;H7C123;H7C2C5;H7C2U2	F8W7C6;A0A087WV22;H7C123;H7C2C5	24;24;12;12;2	1;1;0;0;0	1;1;0;0;0	NA	RPL10	5	24	1	1
A0A087WV46;C9JXA7;Q0VGL1;A0A087WT92	A0A087WV46;C9JXA7;Q0VGL1;A0A087WT92	2;2;2;1	2;2;2;1	2;2;2;1	Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed	LAMTOR4	4	2	2	2
B5LMG6;A0A087WV86;Q6PGQ7-2;Q6PGQ7	B5LMG6;A0A087WV86;Q6PGQ7-2;Q6PGQ7	1;1;1;1	1;1;1;1	1;1;1;1	Protein aurora borealis	C13orf34;BORA	4	1	1	1
A0A087WV97;Q8WU79-3;Q8WU79-2;Q8WU79;X6RCC3	A0A087WV97;Q8WU79-3;Q8WU79-2;Q8WU79;X6RCC3	8;8;8;8;5	8;8;8;8;5	8;8;8;8;5	Stromal membrane-associated protein 2	SMAP2	5	8	8	8
A0A087WVF7;Q9NZM3-4;Q9NZM3-3;Q9NZM3-2;Q9NZM3;E7EPJ2;H7BZD4	A0A087WVF7;Q9NZM3-4;Q9NZM3-3;Q9NZM3-2;Q9NZM3;E7EPJ2	16;16;16;16;16;10;2	16;16;16;16;16;10;2	15;15;15;15;15;9;2	Intersectin-2	ITSN2	7	16	16	15
A0A087WVM4;B7ZM99;Q6UB35;H0Y327;Q4VXM0;Q5JYA8;Q5JYA3;Q6UB35-2;Q4VXM1;Q4VXV2	A0A087WVM4;B7ZM99;Q6UB35	23;23;23;6;4;4;4;4;2;1	21;21;21;6;4;4;4;4;2;1	21;21;21;6;4;4;4;4;2;1	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	MTHFD1L	10	23	21	21
A0A087WVQ6;Q00610-2;Q00610;J3KS13;P53675-2;P53675;K7EJJ5;J3KSQ2;J3QL20;J3KRF5;F5H5N6;A0A087WV74;A0A087WXH4	A0A087WVQ6;Q00610-2;Q00610	75;75;75;22;16;16;6;2;1;1;1;1;1	75;75;75;22;16;16;6;2;1;1;1;1;1	60;60;60;21;1;1;6;1;1;1;0;1;1	Clathrin heavy chain;Clathrin heavy chain 1	CLTC	13	75	75	60
A0A087WVT1;Q96MX3	A0A087WVT1;Q96MX3	2;2	2;2	2;2	Zinc finger protein 48	ZNF48	2	2	2	2
A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9BWW4;D6RAC5;U3KQ46;P81877-2;Q9BWG4-2;Q9BWG4;Q9NW25	A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9BWW4;D6RAC5;U3KQ46;P81877-2;Q9BWG4-2;Q9BWG4	3;3;3;3;2;2;2;2;2;1	1;1;1;1;0;0;0;0;0;1	1;1;1;1;0;0;0;0;0;1	Single-stranded DNA-binding protein 3;Single-stranded DNA-binding protein 2;Single-stranded DNA-binding protein 4	SSBP3;SSBP2;SSBP4	10	3	1	1
Q9ULU4-9;Q9ULU4-3;Q9ULU4-6;H7C4X9;A0A087WVZ6;Q9ULU4-23;Q9ULU4-22;Q9ULU4-21;Q9ULU4-12;Q9ULU4-14;Q9ULU4-16;Q9ULU4-13;Q9ULU4-20;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-19;Q9ULU4;Q9ULU4-5;A0A087WYS3;Q9ULU4-8;Q9ULU4-17;Q9ULU4-4;Q9ULU4-15;A0A087WV57;Q9ULU4-18;Q9ULU4-2	Q9ULU4-9;Q9ULU4-3;Q9ULU4-6;H7C4X9;A0A087WVZ6;Q9ULU4-23;Q9ULU4-22;Q9ULU4-21;Q9ULU4-12;Q9ULU4-14;Q9ULU4-16;Q9ULU4-13;Q9ULU4-20;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-19;Q9ULU4;Q9ULU4-5;A0A087WYS3;Q9ULU4-8;Q9ULU4-17;Q9ULU4-4;Q9ULU4-15;A0A087WV57;Q9ULU4-18	6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;4;4;4;3;2	6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;4;4;4;3;2	6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;4;4;4;3;2	Protein kinase C-binding protein 1	ZMYND8	27	6	6	6
A0A087WVZ9;P19388;A0A0A0MQR7;A0A087WWX0;K7EQN2;K7EJ87;A0A087WVN5	A0A087WVZ9;P19388;A0A0A0MQR7;A0A087WWX0	6;6;5;4;1;1;1	6;6;5;4;1;1;1	6;6;5;4;1;1;1	DNA-directed RNA polymerases I, II, and III subunit RPABC1	POLR2E	7	6	6	6
A0A087WW40;Q9Y371;Q9Y371-2;Q9Y371-3	A0A087WW40;Q9Y371;Q9Y371-2	15;15;15;7	15;15;15;7	15;15;15;7	Endophilin-B1	SH3GLB1	4	15	15	15
A0A0G2JP90;A0A087WW46;A0A0G2JN29;A0A087X117;Q15155;J3KN36;Q5JPE7-3;Q5JPE7-2;P69849;Q5JPE7;H3BUC9;H3BPS9	A0A0G2JP90;A0A087WW46;A0A0G2JN29;A0A087X117;Q15155;J3KN36;Q5JPE7-3;Q5JPE7-2;P69849;Q5JPE7	3;3;3;3;3;2;2;2;2;2;1;1	3;3;3;3;3;2;2;2;2;2;1;1	3;3;3;3;3;2;2;2;2;2;1;1	Nodal modulator 1;Nodal modulator 2;Nodal modulator 3	NOMO1;NOMO3;NOMO2	12	3	3	3
C9JAG1;A0A087WW58;Q9C0D9	C9JAG1;A0A087WW58;Q9C0D9	1;1;1	1;1;1	1;1;1	Ethanolaminephosphotransferase 1	EPT1	3	1	1	1
A0A087WWA3;Q4R9M9;O60333-2;O60333;O60333-4;O60333-3;A0A0U1RQL3;F8W8V9;H7C0K6	A0A087WWA3;Q4R9M9;O60333-2;O60333;O60333-4	18;18;18;18;18;8;7;4;2	18;18;18;18;18;8;7;4;2	14;14;14;14;14;4;7;0;0	Kinesin-like protein;Kinesin-like protein KIF1B	KIF1B;KIF1Bbeta	9	18	18	14
A0A087WZ78;A0A087WWJ9;D6REL5;Q6UWZ7-2;Q6UWZ7	A0A087WZ78;A0A087WWJ9;D6REL5;Q6UWZ7-2;Q6UWZ7	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	BRCA1-A complex subunit Abraxas	FAM175A	5	1	1	1
Q9P2T1;F8WAN9;Q9P2T1-3;A0A087WWM4;H0YMB3;Q9P2T1-2;H0YNJ6;H0YLV5;H0YLB8;H0YNS9;H0YK13;H0YK71;H0YN22;H0YNH0;H0YMW6;H0YMR9;H0YMV5;H0YMG3;A0A0B4J281;H0YN74;H0YKK3;P36959;H0YKE1	Q9P2T1;F8WAN9;Q9P2T1-3;A0A087WWM4;H0YMB3;Q9P2T1-2;H0YNJ6;H0YLV5;H0YLB8;H0YNS9	15;15;15;15;15;14;14;14;9;8;7;6;4;4;3;2;2;2;2;1;1;1;1	15;15;15;15;15;14;14;14;9;8;7;6;4;4;3;2;2;2;2;1;1;1;1	15;15;15;15;15;14;14;14;9;8;7;6;4;4;3;2;2;2;2;1;1;1;1	GMP reductase 2;GMP reductase	GMPR2	23	15	15	15
A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3;Q96T37	A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3;Q96T37	6;6;6;6;6	6;6;6;6;6	6;6;6;6;6	Putative RNA-binding protein 15	RBM15	5	6	6	6
A0A087WWP8;Q5VWQ0;A0A0C4DGT8;A0A0C4DH79;Q5VWQ0-4	A0A087WWP8;Q5VWQ0;A0A0C4DGT8;A0A0C4DH79	12;11;10;6;5	12;11;10;6;5	11;10;9;6;5	Round spermatid basic protein 1	RSBN1	5	12	12	11
I3L2Z5;A0A087WWR2;P56270-3;P56270;P56270-2;H3BQI4;I3L411;I3L4Y2;H3BPU3;I3L0M3;H3BQS2;J3QSH4;P56270-4;Q14119	I3L2Z5;A0A087WWR2;P56270-3;P56270;P56270-2	5;5;5;5;5;2;1;1;1;1;1;1;1;1	5;5;5;5;5;2;1;1;1;1;1;1;1;1	5;5;5;5;5;2;1;1;1;1;1;1;1;1	Myc-associated zinc finger protein	MAZ	14	5	5	5
A0A087WWS1;Q96FV9;R4GMN4;J3KT14;Q96FV9-2;A0A087WY84;J3KRD7;J3QQZ3	A0A087WWS1;Q96FV9	16;16;7;3;3;2;1;1	16;16;7;3;3;2;1;1	16;16;7;3;3;2;1;1	THO complex subunit 1	THOC1	8	16	16	16
A0A087WWW9;O95999	A0A087WWW9;O95999	2;2	2;2	2;2	B-cell lymphoma/leukemia 10	BCL10	2	2	2	2
A0A087WWX7;H7BZL1;Q13163-4;Q13163-2;Q13163-3;Q13163	A0A087WWX7;H7BZL1;Q13163-4;Q13163-2;Q13163-3;Q13163	2;1;1;1;1;1	2;1;1;1;1;1	2;1;1;1;1;1	Dual specificity mitogen-activated protein kinase kinase 5	MAP2K5	6	2	2	2
Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;K7EN94;Q13148-4;A0A087WXQ5;A0A087WV68;A0A1W2PNU8;A0A087WX67;A0A087WXV3;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A0A0MSV7;K7EJ99;A0A087WTZ4	Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A0A0N0M3;K7EJM5;K7EN94	11;11;9;9;9;9;8;8;6;5;4;4;4;3;3;3;1;1;1;1;1;1	11;11;9;9;9;9;8;8;6;5;4;4;4;3;3;3;1;1;1;1;1;1	11;11;9;9;9;9;8;8;6;5;4;4;4;3;3;3;1;1;1;1;1;1	TAR DNA-binding protein 43	TARDBP;TDP43	22	11	11	11
A0A087WX35;Q8N5Z5-2;Q8N5Z5;H0Y731	A0A087WX35;Q8N5Z5-2;Q8N5Z5;H0Y731	2;2;2;1	2;2;2;1	2;2;2;1	BTB/POZ domain-containing protein KCTD17	KCTD17	4	2	2	2
A0A087WX72;H0Y3S8;Q5JRU8;Q5JRU2;F8VVS7;P55211-3;P55211-2;P55211-4;P55211	A0A087WX72;H0Y3S8;Q5JRU8;Q5JRU2;F8VVS7;P55211-3;P55211-2;P55211-4;P55211	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	Caspase;Caspase-9;Caspase-9 subunit p35;Caspase-9 subunit p10	CASP9	9	1	1	1
A0A087WXK3;Q9NVH2-4;Q9NVH2-3;Q9NVH2-2;Q9NVH2	A0A087WXK3;Q9NVH2-4;Q9NVH2-3;Q9NVH2-2;Q9NVH2	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Integrator complex subunit 7	INTS7	5	2	2	2
A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;P18621-2;A0A087WY81;J3KSJ0	A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3KRB3;A0A087WWH0;J3QS96;J3QLC8;A0A0A0MRF8;P18621-2;A0A087WY81	21;21;21;21;21;21;17;17;17;17;15;15;13;8	21;21;21;21;21;21;17;17;17;17;15;15;13;8	21;21;21;21;21;21;17;17;17;17;15;15;13;8	60S ribosomal protein L17	RPL17;RPL17-C18orf32	14	21	21	21
A0A087WXN9;Q765P7	A0A087WXN9;Q765P7	1;1	1;1	1;1	MTSS1-like protein	MTSS1L	2	1	1	1
O43681;A0A087WXS7;K7ERW9	O43681;A0A087WXS7;K7ERW9	8;8;4	8;8;4	8;8;4	ATPase ASNA1	ASNA1	3	8	8	8
H7BXI1;A0A087WXU3;A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-5;A0FGR8-4	H7BXI1;A0A087WXU3;A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-5	13;13;13;13;13;7;6	13;13;13;13;13;7;6	13;13;13;13;13;7;6	Extended synaptotagmin-2	ESYT2	7	13	13	13
H7BZQ3;A0A087WXV6;Q96G74-2;Q96G74-3;Q96G74-5;Q96G74;Q96G74-4	H7BZQ3;A0A087WXV6;Q96G74-2;Q96G74-3;Q96G74-5;Q96G74;Q96G74-4	9;9;9;9;9;9;7	9;9;9;9;9;9;7	9;9;9;9;9;9;7	OTU domain-containing protein 5	OTUD5	7	9	9	9
A0A087WXW3;Q9Y3P8	A0A087WXW3;Q9Y3P8	1;1	1;1	1;1	Signaling threshold-regulating transmembrane adapter 1	SIT1	2	1	1	1
A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2	A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2	14;14;8;8	14;14;8;8	14;14;8;8	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1	4	14	14	14
A0A087WY71;E9PFW3;Q96CW1-2;Q96CW1;C9JJ47;H7C4C3	A0A087WY71;E9PFW3;Q96CW1-2;Q96CW1	13;13;13;13;4;3	13;13;13;13;4;3	13;13;13;13;4;3	AP-2 complex subunit mu	AP2M1	6	13	13	13
