Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
K7ERG6;E5RGH0;K7EJG2;E9PN20;B4E159;D6RGC2;A0A087WTY0;A0A075B7G4;Q8TB69;B4DXR9;Q8IYB9;A0A2R8Y4V3;D6RB60;D6RIY0;Q15928;Q3SXZ3	K7ERG6;E5RGH0;K7EJG2;E9PN20;B4E159;D6RGC2;A0A087WTY0;A0A075B7G4;Q8TB69;B4DXR9;Q8IYB9;A0A2R8Y4V3;D6RB60;D6RIY0;Q15928;Q3SXZ3	2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1	2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1	2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1	Zinc finger protein 519;Zinc finger protein 732;Zinc finger protein 595;Zinc finger protein 141;Zinc finger protein 718	ZNF519;ZNF721;ZNF595;ZNF732;ZNF141;ZNF718	16	2	2	2
A0A087WSV0;I6LJZ7;Q9HB09;M0QZM6;Q9HB09-3;M0R1Z8;M0R1K0;I6LJZ9	A0A087WSV0;I6LJZ7;Q9HB09;M0QZM6;Q9HB09-3	5;4;4;3;3;2;1;1	5;4;4;3;3;2;1;1	5;4;4;3;3;2;1;1	Bcl-2-like protein 12	BCL2L12	8	5	5	5
A0A087WSW7;F6XU50;A0A0B4J1V9;Q9NRZ9-6;Q9NRZ9-5;Q9NRZ9-4;Q9NRZ9-3;Q9NRZ9-2;Q9NRZ9;Q9NRZ9-8;Q9NRZ9-7;B1ALG6;Q9NW36	A0A087WSW7;F6XU50;A0A0B4J1V9;Q9NRZ9-6;Q9NRZ9-5;Q9NRZ9-4;Q9NRZ9-3;Q9NRZ9-2;Q9NRZ9	9;9;9;9;9;9;9;9;9;2;2;1;1	9;9;9;9;9;9;9;9;9;2;2;1;1	9;9;9;9;9;9;9;9;9;2;2;1;1	Lymphoid-specific helicase	HELLS	13	9	9	9
Q16881;Q16881-3;Q16881-4;A0A087WSY9;A0A087WSW9;Q16881-6;Q16881-2;Q16881-5;A0A182DWI3;F8W809;E9PIR7;Q16881-7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PKI4;E9PLT3;E9PQI3;E9PRI8	Q16881;Q16881-3;Q16881-4;A0A087WSY9;A0A087WSW9;Q16881-6;Q16881-2;Q16881-5;A0A182DWI3;F8W809;E9PIR7;Q16881-7;E2QRB9	24;24;24;24;24;23;23;23;23;23;21;21;21;9;5;5;3;3;2;2	24;24;24;24;24;23;23;23;23;23;21;21;21;9;5;5;3;3;2;2	23;23;23;23;23;22;22;22;22;22;20;20;20;8;4;4;2;2;2;2	Thioredoxin reductase 1, cytoplasmic	TXNRD1	20	24	24	23
K7ERP4;A0A087X2I2;A0A087WT12;P36969-2;P36969;K7EKX7;K7ENB4;K7EJ20;R4GNE4;A0A0A0MTT1;A0A087X247	K7ERP4;A0A087X2I2;A0A087WT12;P36969-2;P36969;K7EKX7;K7ENB4;K7EJ20;R4GNE4	7;7;7;7;7;6;6;6;5;3;2	7;7;7;7;7;6;6;6;5;3;2	7;7;7;7;7;6;6;6;5;3;2	Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	GPX4	11	7	7	7
A0A087WT84;Q9H9V9;Q9H9V9-2	A0A087WT84;Q9H9V9;Q9H9V9-2	5;5;4	5;5;4	5;5;4	JmjC domain-containing protein 4	JMJD4	3	5	5	5
A0A087X0U3;A0A087WT87;P43003-2;P43003	A0A087X0U3;A0A087WT87;P43003-2;P43003	5;5;5;5	5;5;5;5	5;5;5;5	Amino acid transporter;Excitatory amino acid transporter 1	SLC1A3	4	5	5	5
A0A087WTM1;Q9Y6N7-6;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;A0A087WZ85;A0A0A0MSX4	A0A087WTM1;Q9Y6N7-6;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;A0A087WZ85;A0A0A0MSX4	4;4;4;4;4;4;4;2;2	4;4;4;4;4;4;4;2;2	4;4;4;4;4;4;4;2;2	Roundabout homolog 1	ROBO1	9	4	4	4
C9JGR9;E7EQ49;A0A087WTQ2;A0A3B3IT47;Q9Y2I8-3;Q9Y2I8;Q9Y2I8-2	C9JGR9;E7EQ49;A0A087WTQ2;A0A3B3IT47;Q9Y2I8-3;Q9Y2I8;Q9Y2I8-2	2;2;2;2;2;2;2	2;2;2;2;2;2;2	2;2;2;2;2;2;2	WD repeat-containing protein 37	WDR37	7	2	2	2
Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	3;3;3;3	3;3;3;3	3;3;3;3	Transmembrane protein 230	TMEM230	4	3	3	3
A0A087WU02;Q96RQ1;H0YI58;F8W0R1;F8VR88;F8VUZ2;H0YI50;F8VPA6;H0YHJ8	A0A087WU02;Q96RQ1;H0YI58;F8W0R1;F8VR88;F8VUZ2;H0YI50;F8VPA6	4;4;2;2;2;2;2;2;1	4;4;2;2;2;2;2;2;1	4;4;2;2;2;2;2;2;1	Endoplasmic reticulum-Golgi intermediate compartment protein 2	ERGIC2	9	4	4	4
A0A087WU07;R4GNA1;Q5TGZ0;A0A3B3IRY5;R4GMM1;R4GMY4;Q5TGZ0-2	A0A087WU07;R4GNA1;Q5TGZ0;A0A3B3IRY5;R4GMM1;R4GMY4;Q5TGZ0-2	2;2;2;1;1;1;1	2;2;2;1;1;1;1	2;2;2;1;1;1;1	MICOS complex subunit MIC10	MINOS1;MINOS1-NBL1	7	2	2	2
A0A087WU53;Q9H0U3;Q9H0U3-2	A0A087WU53;Q9H0U3	5;5;2	5;5;2	5;5;2	Magnesium transporter protein 1	MAGT1	3	5	5	5
E7ER32;A0A087X287;B0QY83;A0A087WU73;W0Z7M9;Q969V6	E7ER32;A0A087X287;B0QY83;A0A087WU73;W0Z7M9;Q969V6	4;4;4;4;4;4	4;4;4;4;4;4	4;4;4;4;4;4	MKL/myocardin-like protein 1	MKL1;mkl1	6	4	4	4
A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2;A2A2P1	A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2	18;18;17;10;10;7	18;18;17;10;10;7	18;18;17;10;10;7	Beta-catenin-like protein 1	CTNNBL1	6	18	18	18
A0A087WUC6;E9PI68;Q15005;E9PL01;E9PRB9;H0YE04	A0A087WUC6;E9PI68;Q15005;E9PL01;E9PRB9	10;10;10;9;7;3	10;10;10;9;7;3	10;10;10;9;7;3	Signal peptidase complex subunit 2	SPCS2	6	10	10	10
A0A087WUD3;Q9NRP0;Q9NRP0-2	A0A087WUD3;Q9NRP0;Q9NRP0-2	1;1;1	1;1;1	1;1;1	Oligosaccharyltransferase complex subunit OSTC	OSTC	3	1	1	1
A0A087WUM0;P57105;A0A087X1F5;A0A087WYV9;A0A087WTA2	A0A087WUM0;P57105;A0A087X1F5;A0A087WYV9	6;6;5;5;1	6;6;5;5;1	6;6;5;5;1	Synaptojanin-2-binding protein	SYNJ2BP-COX16;SYNJ2BP	5	6	6	6
A0A087WUQ1;E5RGS7;H0YBP7;B3KPU0;C9JS55;H7C1D1;A0A087WVI1;Q96JY6-4;Q96JY6;Q96JY6-3;Q96JY6-5	A0A087WUQ1;E5RGS7;H0YBP7;B3KPU0;C9JS55;H7C1D1;A0A087WVI1;Q96JY6-4;Q96JY6;Q96JY6-3;Q96JY6-5	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	PDZ and LIM domain protein 2	PDLIM2	11	1	1	1
A0A087WUQ6;P07203;A0A2R8Y6B6;P07203-2	A0A087WUQ6;P07203;A0A2R8Y6B6	10;10;7;2	10;10;7;2	10;10;7;2	Glutathione peroxidase;Glutathione peroxidase 1	GPX1	4	10	10	10
E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	6;6;6;6;6;6;6;6;3	6;6;6;6;6;6;6;6;3	6;6;6;6;6;6;6;6;3	40S ribosomal protein S24	RPS24	9	6	6	6
A0A087WUT6;O60841	A0A087WUT6;O60841	47;47	47;47	47;47	Eukaryotic translation initiation factor 5B	EIF5B	2	47	47	47
A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;A0A087WV30;C9JN51;Q9Y6K9-3;C9JH59	A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;A0A087WV30;C9JN51;Q9Y6K9-3	8;8;8;8;8;4;4;4;1	8;8;8;8;8;4;4;4;1	6;6;6;6;6;2;2;3;0	NF-kappa-B essential modulator	IKBKG	9	8	8	6
Q9NXU5;A0A087WUW9;A0A0B4J222	Q9NXU5;A0A087WUW9;A0A0B4J222	4;4;3	4;4;3	4;4;3	ADP-ribosylation factor-like protein 15	ARL15	3	4	4	4
A0A087WUX8;A0A087WYF7;Q6UXV4	A0A087WUX8;A0A087WYF7;Q6UXV4	4;4;4	4;4;4	4;4;4	MICOS complex subunit MIC27	APOOL	3	4	4	4
A0A087WUY7;O75928-2;O75928;B4DGW0;O75928-3	A0A087WUY7;O75928-2;O75928;B4DGW0;O75928-3	3;3;3;2;2	2;2;2;1;1	1;1;1;1;0	E3 SUMO-protein ligase PIAS2	PIAS2	5	3	2	1
Q99417;A0A087WV05;A0A0D9SEI7	Q99417;A0A087WV05	6;6;1	6;6;1	6;6;1	C-Myc-binding protein	MYCBP	3	6	6	6
A0A087WV25;O95684-2;O95684;Q8N103-3	A0A087WV25;O95684-2;O95684	6;6;6;2	6;6;6;2	5;5;5;2	FGFR1 oncogene partner	FGFR1OP	4	6	6	5
A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1;P02810	A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1;P02810	4;4;4;4;4;4	4;4;4;4;4;4	4;4;4;4;4;4	Salivary acidic proline-rich phosphoprotein 1/2;Salivary acidic proline-rich phosphoprotein 1/2;Salivary acidic proline-rich phosphoprotein 3/4;Peptide P-C	PRH1	6	4	4	4
X6RCC3;A0A087WV97;Q8WU79-3;Q8WU79-2;Q8WU79	X6RCC3;A0A087WV97;Q8WU79-3;Q8WU79-2;Q8WU79	4;4;4;4;4	4;4;4;4;4	4;4;4;4;4	Stromal membrane-associated protein 2	SMAP2	5	4	4	4
P22694-2;P22694;A0A0A0MS54;A0A087WVC4;P22694-4;P22694-3;P22694-10;P22694-5;P22694-7;P22694-6;P22694-9;B1APG3;P22694-8;B1APF9;B1APG2;B1APF8;B1APG0;B1APG1	P22694-2;P22694;A0A0A0MS54;A0A087WVC4;P22694-4;P22694-3;P22694-10;P22694-5;P22694-7;P22694-6;P22694-9;B1APG3;P22694-8;B1APF9	9;9;9;9;9;9;9;9;9;9;9;5;5;5;4;4;3;3	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	cAMP-dependent protein kinase catalytic subunit beta	PRKACB	18	9	1	1
A0A087WVD7;Q9Y3D8;Q9Y3D8-2;D6RDH4;A0A087WY94	A0A087WVD7;Q9Y3D8;Q9Y3D8-2;D6RDH4	6;6;5;3;2	6;6;5;3;2	6;6;5;3;2	Adenylate kinase isoenzyme 6	TAF9;AK6	5	6	6	6
A0A087WVF7;Q9NZM3-2;Q9NZM3;Q9NZM3-4;Q9NZM3-3;E7EPJ2	A0A087WVF7;Q9NZM3-2;Q9NZM3;Q9NZM3-4;Q9NZM3-3;E7EPJ2	8;8;8;6;6;4	6;6;6;5;5;3	6;6;6;5;5;3	Intersectin-2	ITSN2	6	8	6	6
A0A087WVM4;B7ZM99;Q6UB35;H0Y327;Q6UB35-2;Q4VXM0;Q5JYA8;Q5JYA3;Q4VXV2;Q4VXM1	A0A087WVM4;B7ZM99;Q6UB35	40;40;40;10;7;5;5;5;3;2	40;40;40;10;7;5;5;5;3;2	40;40;40;10;7;5;5;5;3;2	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	MTHFD1L	10	40	40	40
A0A087WVQ6;Q00610-2;Q00610;J3KS13;K7EJJ5;J3KSQ2;J3QL20;J3KRF5;F5H5N6	A0A087WVQ6;Q00610-2;Q00610	84;84;84;24;8;7;5;3;1	84;84;84;24;8;7;5;3;1	65;65;65;21;8;6;5;3;0	Clathrin heavy chain;Clathrin heavy chain 1	CLTC	9	84	84	65
A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9BWW4;D6RAC5;Q9NW25;A0A087X159;P81877-2;P81877-4;P81877-5;P81877-3;P81877	A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9BWW4;D6RAC5;Q9NW25;A0A087X159;P81877-2;P81877-4;P81877-5;P81877-3;P81877	2;2;2;2;1;1;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1;1;1	Single-stranded DNA-binding protein 3;Single-stranded DNA-binding protein 2	SSBP3;SSBP2	12	2	2	2
Q5TI65;A0A087WVZ0;Q9Y5U8	Q5TI65;A0A087WVZ0;Q9Y5U8	1;1;1	1;1;1	1;1;1	Mitochondrial pyruvate carrier 1	BRP44L;MPC1	3	1	1	1
A0A087WVZ9;A0A0A0MQR7;P19388;A0A087WWX0;A0A087WVN5	A0A087WVZ9;A0A0A0MQR7;P19388	5;5;5;2;1	5;5;5;2;1	5;5;5;2;1	DNA-directed RNA polymerases I, II, and III subunit RPABC1	POLR2E	5	5	5	5
A0A087WW00;C9J9H9;Q9Y2X8;P51668	A0A087WW00;C9J9H9;Q9Y2X8;P51668	2;2;2;2	1;1;1;1	1;1;1;1	Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1	UBE2D1;UBE2D4	4	2	1	1
Q96AY4;A0A087WW06;B0QYP5	Q96AY4;A0A087WW06	13;13;2	13;13;2	13;13;2	Tetratricopeptide repeat protein 28	TTC28	3	13	13	13
A0A087WW30;Q6ZVK8	A0A087WW30;Q6ZVK8	1;1	1;1	1;1	8-oxo-dGDP phosphatase NUDT18	NUDT18	2	1	1	1
A0A087WW40;Q9Y371;Q9Y371-2;Q9Y371-3	A0A087WW40;Q9Y371;Q9Y371-2	11;11;11;3	11;11;11;3	11;11;11;3	Endophilin-B1	SH3GLB1	4	11	11	11
C9JAG1;A0A087WW58;Q9C0D9	C9JAG1;A0A087WW58;Q9C0D9	2;2;2	2;2;2	2;2;2	Ethanolaminephosphotransferase 1	EPT1	3	2	2	2
P13591;P13591-1;A0A087WWD4;A0A087WV75;A0A087WX77;A0A087WTF6;P13591-4;H7BYX6;P13591-3;A0A087WTE4;P13591-5;A0A0D9SF98;A0A087WWJ5;A0A087WVU1;A0A087X1V2;P13591-6;A0A0C4DGS4;A0A087WZS4;A0A0D9SF30;A0A087WTR3	P13591;P13591-1;A0A087WWD4;A0A087WV75;A0A087WX77;A0A087WTF6;P13591-4;H7BYX6;P13591-3;A0A087WTE4;P13591-5;A0A0D9SF98;A0A087WWJ5	12;12;12;11;11;11;10;9;9;9;7;7;7;5;4;4;3;2;2;1	12;12;12;11;11;11;10;9;9;9;7;7;7;5;4;4;3;2;2;1	12;12;12;11;11;11;10;9;9;9;7;7;7;5;4;4;3;2;2;1	Neural cell adhesion molecule 1	NCAM1	20	12	12	12
A0A087WWF1;Q8WWX9	A0A087WWF1;Q8WWX9	2;2	2;2	2;2	Selenoprotein M	SELM	2	2	2	2
A0A087WWF6;P49005;F8W8R3;C9JLE1;C9IZD2;C9J8Z7;C9JHC7;H7C1B3	A0A087WWF6;P49005;F8W8R3;C9JLE1	13;13;11;7;6;6;4;1	13;13;11;7;6;6;4;1	13;13;11;7;6;6;4;1	DNA polymerase delta subunit 2	POLD2	8	13	13	13
A0A087WWG1;Q8TE77-2;Q8TE77;C9JUG3;Q8TE77-4;E9PIT5;Q8TE77-3	A0A087WWG1;Q8TE77-2;Q8TE77;C9JUG3;Q8TE77-4	3;3;3;2;2;1;1	3;3;3;2;2;1;1	3;3;3;2;2;1;1	Protein phosphatase Slingshot homolog 3	SSH3	7	3	3	3
A0A3B3IU98;A0A0C4DGT3;A0A2R8Y7T6;A0A087WWK8;A0A3B3IRZ4;Q6DN90-2;Q6DN90;A0A2R8Y695	A0A3B3IU98;A0A0C4DGT3;A0A2R8Y7T6;A0A087WWK8;A0A3B3IRZ4;Q6DN90-2;Q6DN90;A0A2R8Y695	3;3;3;3;3;3;3;2	3;3;3;3;3;3;3;2	3;3;3;3;3;3;3;2	IQ motif and SEC7 domain-containing protein 1	IQSEC1	8	3	3	3
A0A087WWM0;O43617;O43617-2;A0A087WYS5;A6NKE1	A0A087WWM0;O43617;O43617-2	7;6;5;3;3	7;6;5;3;3	7;6;5;3;3	Trafficking protein particle complex subunit 3	TRAPPC3	5	7	7	7
Q9P2T1;A0A087WWM4;Q9P2T1-2;Q9P2T1-3;H0YNJ6;F8WAN9;H0YMB3;H0YLV5;H0YNH0;H0YLB8;H0YMV5;H0YMR9;H0YNS9;H0YMG3;A0A0B4J281;H0YN74;H0YKK3;H0YK13;H0YN22;H0YK71;H0YKE1;H0YMW6;H0YL68	Q9P2T1;A0A087WWM4;Q9P2T1-2;Q9P2T1-3;H0YNJ6;F8WAN9;H0YMB3;H0YLV5;H0YNH0	12;12;11;11;11;11;9;8;7;5;5;4;3;3;3;2;2;2;2;1;1;1;1	12;12;11;11;11;11;9;8;7;5;5;4;3;3;3;2;2;2;2;1;1;1;1	11;11;10;10;10;10;8;7;6;5;4;3;3;2;2;1;1;2;2;1;1;1;1	GMP reductase 2;GMP reductase	GMPR2	23	12	12	11
A0A0C4DGT8;A0A087WWP8;Q5VWQ0	A0A0C4DGT8;A0A087WWP8;Q5VWQ0	7;7;7	7;7;7	5;5;5	Round spermatid basic protein 1	RSBN1	3	7	7	5
V9GYP5;A0A087WWQ2;Q92979;A0A087WVM7	V9GYP5;A0A087WWQ2;Q92979	3;3;3;1	3;3;3;1	3;3;3;1	Ribosomal RNA small subunit methyltransferase NEP1	EMG1	4	3	3	3
A0A087WWS1;Q96FV9;R4GN58;R4GMN4;A0A087WY84;Q96FV9-2	A0A087WWS1;Q96FV9	5;5;1;1;1;1	5;5;1;1;1;1	5;5;1;1;1;1	THO complex subunit 1	THOC1	6	5	5	5
A0A087WWW8;Q9Y6J0-2;Q9Y6J0;B5MEB3	A0A087WWW8;Q9Y6J0-2;Q9Y6J0;B5MEB3	3;3;3;2	3;3;3;2	3;3;3;2	Calcineurin-binding protein cabin-1	CABIN1	4	3	3	3
H7C323;H0Y731;A0A087WX35;Q8N5Z5-2;Q8N5Z5	H7C323;H0Y731;A0A087WX35;Q8N5Z5-2;Q8N5Z5	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	BTB/POZ domain-containing protein KCTD17	KCTD17	5	2	2	2
