Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
A0A067XG54;Q8NB49-2;Q8NB49-3;Q8NB49-4;Q8NB49;H7C0E8	A0A067XG54;Q8NB49-2;Q8NB49-3;Q8NB49-4;Q8NB49	5;5;5;5;5;1	5;5;5;5;5;1	5;5;5;5;5;1	Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG	ATP11C	6	5	5	5
P11532;P11532-4;A0A087WTU7;E9PDN5;A0A087WV90;A0A075B6G3;P11532-2;P11532-3;H0Y304;P11532-5;P11532-6;E7EQR9;F8VX32;E7EQS5;E7ESB2;P11532-7;P11532-8;P11532-10;F5GZY3;P11532-9;H0Y3E8	P11532;P11532-4;A0A087WTU7;E9PDN5;A0A087WV90;A0A075B6G3;P11532-2;P11532-3;H0Y304;P11532-5;P11532-6;E7EQR9;F8VX32;E7EQS5;E7ESB2;P11532-7;P11532-8	8;8;8;8;8;8;7;7;5;4;4;4;4;4;4;4;4;2;2;2;1	7;7;7;7;7;7;6;6;4;3;3;3;3;3;3;3;3;1;1;1;1	7;7;7;7;7;7;6;6;4;3;3;3;3;3;3;3;3;1;1;1;1	Dystrophin	DMD	21	8	7	7
A0A075B6Q3;Q5H9F3-2;Q5H9F3;Q5H9F3-3;H7C4B2	A0A075B6Q3;Q5H9F3-2;Q5H9F3;Q5H9F3-3;H7C4B2	3;3;3;3;2	3;3;3;3;2	3;3;3;3;2	BCL-6 corepressor-like protein 1	BCORL1	5	3	3	3
Q9NRI5;Q9NRI5-11;Q5T409;C4P0B0;C4P0B1;A0A075B6Q7;Q9NRI5-7;C4P093;Q9NRI5-6;Q9NRI5-9;Q9NRI5-3;Q9NRI5-8;Q9NRI5-5;Q9NRI5-2;Q9NRI5-4;C4P092;C4P0A0;Q9NRI5-10;A0A087WYX6;H0Y7U2	Q9NRI5;Q9NRI5-11;Q5T409;C4P0B0;C4P0B1;A0A075B6Q7;Q9NRI5-7;C4P093;Q9NRI5-6;Q9NRI5-9;Q9NRI5-3;Q9NRI5-8;Q9NRI5-5;Q9NRI5-2;Q9NRI5-4;C4P092;C4P0A0;Q9NRI5-10;A0A087WYX6;H0Y7U2	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1	Disrupted in schizophrenia 1 protein	DISC1	20	2	2	2
A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7;Q9C0C7-5;H0YE34;Q9C0C7-6	A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7;Q9C0C7-5;H0YE34	3;3;3;3;3;3;2;1	3;3;3;3;3;3;2;1	3;3;3;3;3;3;2;1	Activating molecule in BECN1-regulated autophagy protein 1	AMBRA1	8	3	3	3
E9PN20;A0A075B7G4;Q8IYB9;K7ERG6;E5RGH0;K7EJG2;A0A2R8Y4V3;D6RB60;B4E159;D6RGC2;D6RIY0;A0A087WTY0;Q15928;Q3SXZ3;Q8TB69;B4DXR9	E9PN20;A0A075B7G4;Q8IYB9;K7ERG6;E5RGH0;K7EJG2;A0A2R8Y4V3;D6RB60;B4E159;D6RGC2;D6RIY0;A0A087WTY0;Q15928;Q3SXZ3;Q8TB69;B4DXR9	2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	Zinc finger protein 595;Zinc finger protein 141;Zinc finger protein 718;Zinc finger protein 519;Zinc finger protein 732	ZNF595;ZNF519;ZNF721;ZNF141;ZNF732;ZNF718	16	2	2	2
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7;M0QZM6;M0R1Z8;M0R1K0;I6LJZ9	A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7	10;9;8;5;3;2;1;1	10;9;8;5;3;2;1;1	10;9;8;5;3;2;1;1	Bcl-2-like protein 12	BCL2L12	8	10	10	10
A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696;E9PLR0;E9PLE9;A0A2R8Y6G7;H0YEG8;H0YD18;E9PM22;E9PJP3	A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696	21;21;21;18;18;10;10;10;8;5;5;3	21;21;21;18;18;10;10;10;8;5;5;3	21;21;21;18;18;10;10;10;8;5;5;3	Nucleobindin-2;Nesfatin-1	NUCB2;Nucb2	12	21	21	21
Q16881;Q16881-3;Q16881-4;A0A087WSY9;A0A087WSW9;E9PIR7;Q16881-6;Q16881-2;Q16881-5;A0A182DWI3;F8W809;Q16881-7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PKI4;E9PLT3;E9PQI3;E9PJU2;E9PRI8	Q16881;Q16881-3;Q16881-4;A0A087WSY9;A0A087WSW9;E9PIR7;Q16881-6;Q16881-2;Q16881-5;A0A182DWI3;F8W809;Q16881-7;E2QRB9	21;21;21;21;21;20;20;20;20;20;20;17;17;10;6;6;4;4;3;1;1	21;21;21;21;21;20;20;20;20;20;20;17;17;10;6;6;4;4;3;1;1	20;20;20;20;20;19;19;19;19;19;19;16;16;9;5;5;3;3;3;1;1	Thioredoxin reductase 1, cytoplasmic	TXNRD1	21	21	21	20
A0A087WT00;O60449-3;O60449-2;Q8IX05	A0A087WT00;O60449-3;O60449-2;Q8IX05	1;1;1;1	1;1;1;1	1;1;1;1	CD302 antigen	CD302	4	1	1	1
V9GYI0;V9GYH6;A0A087WT04;U3KQ54;Q6P1K2-3;Q6P1K2-6;Q6P1K2;Q6P1K2-2;Q6P1K2-5	V9GYI0;V9GYH6;A0A087WT04;U3KQ54;Q6P1K2-3;Q6P1K2-6;Q6P1K2;Q6P1K2-2;Q6P1K2-5	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	Polyamine-modulated factor 1	PMF1;PMF1-BGLAP	9	1	1	1
A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;K7EKX7;K7ENB4;K7EJ20;R4GNE4;A0A0A0MTT1;A0A087X247	A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;K7EKX7;K7ENB4;K7EJ20;R4GNE4	11;11;11;11;10;8;8;8;7;5;3	11;11;11;11;10;8;8;8;7;5;3	11;11;11;11;10;8;8;8;7;5;3	Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	GPX4	11	11	11	11
A0A087WT20;Q9NV06;A0A087X1F8;B3KME9	A0A087WT20;Q9NV06;A0A087X1F8;B3KME9	2;2;1;1	2;2;1;1	2;2;1;1	DDB1- and CUL4-associated factor 13	DCAF13	4	2	2	2
A0A087WV67;A0A087WT23;O00124-3;O00124	A0A087WV67;A0A087WT23;O00124-3;O00124	1;1;1;1	1;1;1;1	1;1;1;1	UBX domain-containing protein 8	UBXN8	4	1	1	1
A0A087WT64;Q07820	A0A087WT64;Q07820	3;3	3;3	3;3	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1	2	3	3	3
H0YCJ2;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;A0A087WT80;Q9NQ66-2;Q9NQ66;A0A1B0GW62;A0A0D9SGI7	H0YCJ2;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;A0A087WT80;Q9NQ66-2;Q9NQ66;A0A1B0GW62;A0A0D9SGI7	2;2;2;2;2;2;2;2;1;1	2;2;2;2;2;2;2;2;1;1	2;2;2;2;2;2;2;2;1;1	Phosphoinositide phospholipase C;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	PLCB1	10	2	2	2
A0A087WT84;Q9H9V9-2;Q9H9V9	A0A087WT84;Q9H9V9-2;Q9H9V9	6;6;6	6;6;6	6;6;6	JmjC domain-containing protein 4	JMJD4	3	6	6	6
A0A087X0U3;A0A087WT87;P43003-2;P43003	A0A087X0U3;A0A087WT87;P43003-2;P43003	3;3;3;3	3;3;3;3	3;3;3;3	Amino acid transporter;Excitatory amino acid transporter 1	SLC1A3	4	3	3	3
A0A087WTA5;Q9UI10-3;Q9UI10-2;H7C2L8	A0A087WTA5;Q9UI10-3;Q9UI10-2	17;17;16;4	17;17;16;4	1;1;1;0	Translation initiation factor eIF-2B subunit delta	EIF2B4	4	17	17	1
D6RCT6;A0A087WTC6;D6R9E3;Q9BWT6;D6RIA0	D6RCT6;A0A087WTC6;D6R9E3;Q9BWT6;D6RIA0	4;4;4;4;2	4;4;4;4;2	4;4;4;4;2	Meiotic nuclear division protein 1 homolog	MND1	5	4	4	4
P13591;P13591-1;A0A087WWD4;A0A087WX77;A0A087WTF6;A0A087WV75;A0A087WWJ5;A0A087WTE4;H7BYX6;A0A0D9SF98;P13591-4;P13591-3;A0A087WVU1;A0A087X1V2;P13591-5;A0A0D9SF30;A0A0C4DGS4;P13591-6;A0A087WZS4	P13591;P13591-1;A0A087WWD4;A0A087WX77;A0A087WTF6;A0A087WV75;A0A087WWJ5;A0A087WTE4;H7BYX6;A0A0D9SF98;P13591-4;P13591-3;A0A087WVU1;A0A087X1V2;P13591-5	4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;1;1;1;1	4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;1;1;1;1	4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;1;1;1;1	Neural cell adhesion molecule 1	NCAM1	19	4	4	4
A0A087WTM1;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;Q9Y6N7-6;A0A087WZ85;A0A0A0MSX4;H7C4Y7	A0A087WTM1;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;Q9Y6N7-6;A0A087WZ85;A0A0A0MSX4	9;9;9;9;9;9;8;7;7;1	9;9;9;9;9;9;8;7;7;1	9;9;9;9;9;9;8;7;7;1	Roundabout homolog 1	ROBO1	10	9	9	9
Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	1;1;1;1	1;1;1;1	1;1;1;1	Transmembrane protein 230	TMEM230	4	1	1	1
A0A087WTU1;A0A0B4J2G4;Q15345-3;Q15345;A0A0C4DH00;A0A087X0S7;A0A087WTI9	A0A087WTU1;A0A0B4J2G4;Q15345-3;Q15345;A0A0C4DH00;A0A087X0S7	16;16;16;16;14;12;2	16;16;16;16;14;12;2	16;16;16;16;14;12;2	Leucine-rich repeat-containing protein 41	LRRC41	7	16	16	16
A0A087WVR3;A0A087WTW0;Q96T88;Q96T88-2;A0A087WWG9	A0A087WVR3;A0A087WTW0;Q96T88;Q96T88-2;A0A087WWG9	4;4;4;4;2	4;4;4;4;2	4;4;4;4;2	E3 ubiquitin-protein ligase UHRF1	UHRF1	5	4	4	4
F8W0R1;F8VR88;F8VUZ2;F8VPA6;A0A087WU02;Q96RQ1	F8W0R1;F8VR88;F8VUZ2;F8VPA6;A0A087WU02;Q96RQ1	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2	Endoplasmic reticulum-Golgi intermediate compartment protein 2	ERGIC2	6	2	2	2
A0A087WU07;Q5TGZ0;R4GNA1;Q5TGZ0-2;A0A3B3IRY5;R4GMM1;R4GMY4	A0A087WU07;Q5TGZ0;R4GNA1;Q5TGZ0-2	3;3;2;2;1;1;1	3;3;2;2;1;1;1	3;3;2;2;1;1;1	MICOS complex subunit MIC10	MINOS1;MINOS1-NBL1	7	3	3	3
A0A087WU53;Q9H0U3;Q9H0U3-2	A0A087WU53;Q9H0U3	7;7;3	7;7;3	7;7;3	Magnesium transporter protein 1	MAGT1	3	7	7	7
E7ER32;A0A087X287;B0QY83;A0A087WU73;W0Z7M9;Q969V6;B0QY84	E7ER32;A0A087X287;B0QY83;A0A087WU73;W0Z7M9;Q969V6	10;10;10;10;10;10;1	10;10;10;10;10;10;1	9;9;9;9;9;9;0	MKL/myocardin-like protein 1	MKL1;mkl1	7	10	10	9
A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2;A2A2P1	A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2	17;17;16;12;12;4	17;17;16;12;12;4	17;17;16;12;12;4	Beta-catenin-like protein 1	CTNNBL1	6	17	17	17
E9PL01;A0A087WUC6;E9PI68;Q15005;E9PRB9;H0YE04	E9PL01;A0A087WUC6;E9PI68;Q15005;E9PRB9	8;8;8;8;4;2	8;8;8;8;4;2	8;8;8;8;4;2	Signal peptidase complex subunit 2	SPCS2	6	8	8	8
A0A087WUD7;Q8WU76-2;Q8WU76	A0A087WUD7;Q8WU76-2;Q8WU76	2;2;2	2;2;2	2;2;2	Sec1 family domain-containing protein 2	SCFD2	3	2	2	2
A0A0G2JNN3;C9JMY0;A0A087WUE4;Q96PV6-1;Q96PV6;E7EWC7	A0A0G2JNN3;C9JMY0;A0A087WUE4;Q96PV6-1;Q96PV6;E7EWC7	2;2;2;2;2;1	2;2;2;2;2;1	2;2;2;2;2;1	Leukocyte receptor cluster member 8	LENG8	6	2	2	2
A0A087WUI6;Q8WXW3;Q8WXW3-4;Q8WXW3-2	A0A087WUI6;Q8WXW3	6;6;2;1	6;6;2;1	6;6;2;1	Progesterone-induced-blocking factor 1	PIBF1	4	6	6	6
A0A087WUK2;O14979	A0A087WUK2;O14979	15;15	1;1	1;1	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	2	15	1	1
A0A087WUM0;P57105;A0A087X1F5;A0A087WYV9;A0A087WTA2	A0A087WUM0;P57105;A0A087X1F5;A0A087WYV9	9;8;7;7;1	9;8;7;7;1	9;8;7;7;1	Synaptojanin-2-binding protein	SYNJ2BP-COX16;SYNJ2BP	5	9	9	9
A0A087WUQ6;P07203;A0A2R8Y6B6;P07203-2	A0A087WUQ6;P07203;A0A2R8Y6B6	12;12;9;2	12;12;9;2	12;12;9;2	Glutathione peroxidase;Glutathione peroxidase 1	GPX1	4	12	12	12
E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	6;6;6;6;6;6;6;6;3	6;6;6;6;6;6;6;6;3	6;6;6;6;6;6;6;6;3	40S ribosomal protein S24	RPS24	9	6	6	6
A0A087WUT6;O60841	A0A087WUT6;O60841	46;45	46;45	46;45	Eukaryotic translation initiation factor 5B	EIF5B	2	46	46	46
A0A087WUW6;Q9Y6K9;Q9Y6K9-2;A0A087X0G7;A0A087X1B1;C9JN51;C9J2V2;Q9Y6K9-3;A0A087WV30;C9JH59;C9JCG6	A0A087WUW6;Q9Y6K9;Q9Y6K9-2;A0A087X0G7;A0A087X1B1;C9JN51;C9J2V2;Q9Y6K9-3	9;9;9;8;8;6;5;5;4;3;1	9;9;9;8;8;6;5;5;4;3;1	9;9;9;8;8;6;5;5;4;3;1	NF-kappa-B essential modulator	IKBKG	11	9	9	9
A0A0B4J222;A0A087WUW9;Q9NXU5	A0A0B4J222;A0A087WUW9;Q9NXU5	2;2;2	2;2;2	2;2;2	ADP-ribosylation factor-like protein 15	ARL15	3	2	2	2
Q99417;A0A087WV05;A0A0D9SEI7	Q99417;A0A087WV05	8;8;1	8;8;1	8;8;1	C-Myc-binding protein	MYCBP	3	8	8	8
A0A087WV25;O95684-2;O95684;Q8N103-3	A0A087WV25;O95684-2;O95684	7;7;7;1	7;7;7;1	7;7;7;1	FGFR1 oncogene partner	FGFR1OP	4	7	7	7
A0A087WV34;Q8WWB7-2;Q8WWB7	A0A087WV34;Q8WWB7-2;Q8WWB7	1;1;1	1;1;1	1;1;1	Glycosylated lysosomal membrane protein	GLMP	3	1	1	1
A0A087WV97;Q8WU79-2;Q8WU79;Q8WU79-3;X6RCC3	A0A087WV97;Q8WU79-2;Q8WU79;Q8WU79-3;X6RCC3	7;7;7;6;5	6;6;6;6;4	6;6;6;6;4	Stromal membrane-associated protein 2	SMAP2	5	7	6	6
A0A087WVD4;Q9HBK9;Q9HBK9-2	A0A087WVD4;Q9HBK9;Q9HBK9-2	16;16;12	16;16;12	16;16;12	Arsenite methyltransferase	AS3MT	3	16	16	16
A0A087WVD7;Q9Y3D8;Q9Y3D8-2;D6RDH4;A0A087WY94	A0A087WVD7;Q9Y3D8;Q9Y3D8-2;D6RDH4	8;8;7;4;2	8;8;7;4;2	8;8;7;4;2	Adenylate kinase isoenzyme 6	TAF9;AK6	5	8	8	8
A0A087WVF7;Q9NZM3-2;Q9NZM3;Q9NZM3-4;Q9NZM3-3;E7EPJ2;H7BZD4;F8W719	A0A087WVF7;Q9NZM3-2;Q9NZM3;Q9NZM3-4;Q9NZM3-3	15;15;15;11;11;6;1;1	15;15;15;11;11;6;1;1	14;14;14;11;11;6;1;1	Intersectin-2	ITSN2	8	15	15	14
B3KPU0;A0A087WVI1;Q96JY6;Q96JY6-5;E5RGS7;Q96JY6-3;H0YBP7;A0A087WUQ1;C9JS55;H7C1D1;Q96JY6-4	B3KPU0;A0A087WVI1;Q96JY6;Q96JY6-5;E5RGS7;Q96JY6-3	5;5;5;5;4;4;2;1;1;1;1	5;5;5;5;4;4;2;1;1;1;1	5;5;5;5;4;4;2;1;1;1;1	PDZ and LIM domain protein 2	PDLIM2	11	5	5	5
A0A087WVM4;B7ZM99;Q6UB35;H0Y327;Q6UB35-2;Q4VXM0;Q5JYA8;Q5JYA3;Q4VXV2;Q4VXM1	A0A087WVM4;B7ZM99;Q6UB35	47;47;47;12;8;6;6;6;5;3	47;47;47;12;8;6;6;6;5;3	47;47;47;12;8;6;6;6;5;3	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	MTHFD1L	10	47	47	47
A0A087WVQ6;Q00610-2;Q00610;J3KS13;K7EJJ5;J3KSQ2;J3QL20;J3KRF5;A0A087WV74;A0A087WXH4;F5H5N6	A0A087WVQ6;Q00610-2;Q00610	102;102;102;28;11;6;4;4;2;2;1	102;102;102;28;11;6;4;4;2;2;1	78;78;78;25;11;5;4;4;0;0;0	Clathrin heavy chain;Clathrin heavy chain 1	CLTC	11	102	102	78
A0A087WVS8;Q70IA6-2;Q70IA6;Q70IA6-3	A0A087WVS8;Q70IA6-2;Q70IA6;Q70IA6-3	3;3;3;3	3;3;3;3	3;3;3;3	MOB kinase activator 2	MOB2	4	3	3	3
A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9BWW4;D6RAC5;P81877-2;U3KQ46;Q9NW25	A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9BWW4;D6RAC5;P81877-2	3;3;3;3;2;2;1;1	3;3;3;3;2;2;1;1	1;1;1;1;0;0;0;1	Single-stranded DNA-binding protein 3;Single-stranded DNA-binding protein 2	SSBP3;SSBP2	8	3	3	1
Q5TI65;A0A087WVZ0;Q9Y5U8	Q5TI65;A0A087WVZ0;Q9Y5U8	1;1;1	1;1;1	1;1;1	Mitochondrial pyruvate carrier 1	BRP44L;MPC1	3	1	1	1
Q9ULU4-19;A0A087WYS3;H7C4X9;A0A087WVZ6;Q9ULU4-17;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-13;Q9ULU4;Q9ULU4-20;Q9ULU4-5;Q9ULU4-9;Q9ULU4-16;Q9ULU4-22;Q9ULU4-12;Q9ULU4-14;Q9ULU4-18;Q9ULU4-21;Q9ULU4-8;Q9ULU4-15;Q9ULU4-2;Q9ULU4-23;Q9ULU4-4;A0A087WV57;Q5TH12	Q9ULU4-19;A0A087WYS3;H7C4X9;A0A087WVZ6;Q9ULU4-17;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-13;Q9ULU4;Q9ULU4-20;Q9ULU4-5;Q9ULU4-9;Q9ULU4-16;Q9ULU4-22;Q9ULU4-12;Q9ULU4-14;Q9ULU4-18;Q9ULU4-21;Q9ULU4-8;Q9ULU4-15;Q9ULU4-2;Q9ULU4-23;Q9ULU4-4	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;1	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1	Protein kinase C-binding protein 1	ZMYND8	26	3	3	1
Q96AY4;A0A087WW06;B0QYP5	Q96AY4;A0A087WW06	26;26;3	26;26;3	26;26;3	Tetratricopeptide repeat protein 28	TTC28	3	26	26	26
A0A087WW40;Q9Y371;Q9Y371-2;Q9Y371-3	A0A087WW40;Q9Y371;Q9Y371-2	13;13;13;5	12;12;12;5	12;12;12;5	Endophilin-B1	SH3GLB1	4	13	12	12
C9JAG1;A0A087WW58;Q9C0D9	C9JAG1;A0A087WW58;Q9C0D9	3;3;3	3;3;3	3;3;3	Ethanolaminephosphotransferase 1	EPT1	3	3	3	3
A0A087WW77;Q15334	A0A087WW77;Q15334	7;7	7;7	7;7	Lethal(2) giant larvae protein homolog 1	LLGL1	2	7	7	7
A0A087WWE7;Q8N0T1;E5RGR5;Q8N0T1-2	A0A087WWE7;Q8N0T1;E5RGR5;Q8N0T1-2	2;2;1;1	2;2;1;1	2;2;1;1	Uncharacterized protein C8orf59	C8orf59	4	2	2	2
A0A087WWF1;Q8WWX9	A0A087WWF1;Q8WWX9	3;3	3;3	3;3	Selenoprotein M	SELM	2	3	3	3
